"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"KIM","Kimco Realty Corporation","15.2","$6.47B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kim",
"KIM^I","Kimco Realty Corporation","25","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim^i",
"KIM^J","Kimco Realty Corporation","23.1","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim^j",
"KIM^K","Kimco Realty Corporation","23.7629","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim^k",
"KIM^L","Kimco Realty Corporation","22.08","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim^l",
"KIM^M","Kimco Realty Corporation","22.36","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kim^m",
"KMI","Kinder Morgan, Inc.","17.06","$37.64B","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/kmi",
"KMI^A","Kinder Morgan, Inc.","35.09","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kmi^a",
"KIN","Kindred Biosciences, Inc.","8.55","$240.76M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kin",
"KND","Kindred Healthcare, Inc.","8.95","$702.47M","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/knd",
"KGJI","Kingold Jewelry Inc.","1.64","$108.43M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/kgji",
"KINS","Kingstone Companies, Inc","20.75","$220.5M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kins",
"KFS","Kingsway Financial Services, Inc.","5.7","$134.87M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","4.29","$6.03M","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/kone",
"KGC","Kinross Gold Corporation","3.94","$4.91B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kgc",
"KNSL","Kinsale Capital Group, Inc.","48.93","$1.03B","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/knsl",
"KEX","Kirby Corporation","75.95","$4.53B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/kex",
"KL","Kirkland Lake Gold Ltd.","14.86","$3.13B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/kl",
"KIRK","Kirkland&#39;s, Inc.","11.89","$190.17M","2002","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/kirk",
"KRG","Kite Realty Group Trust","15.48","$1.29B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/krg",
"KTOV","Kitov Pharma Ltd.","2.4865","$27.87M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ktov",
"KTOVW","Kitov Pharma Ltd.","0.67","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ktovw",
"KKR","KKR & Co. L.P.","22.23","$10.62B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",
"KKR^A","KKR & Co. L.P.","26.22","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr^a",
"KKR^B","KKR & Co. L.P.","25.9688","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kkr^b",
"KIO","KKR Income Opportunities Fund","15.64","$318.12M","2013","n/a","n/a","https://www.nasdaq.com/symbol/kio",
"KREF","KKR Real Estate Finance Trust Inc.","19.72","$1.06B","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/kref",
"KLAC","KLA-Tencor Corporation","107.52","$16.84B","1980","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/klac",
